"","Comunidad_Origen","Comunidad_Destino","Provincia_Origen","Provincia_Destino","fecha","Total"
"1","Andalucia","Andalucia","Almeria","Almeria","2020-03-16",60943
"2","Andalucia","Andalucia","Almeria","Almeria","2020-03-18",39456
"3","Andalucia","Andalucia","Almeria","Almeria","2020-03-20",36975
"4","Andalucia","Andalucia","Almeria","Almeria","2020-03-22",22567
"5","Andalucia","Andalucia","Almeria","Almeria","2020-03-24",52124
"6","Andalucia","Andalucia","Almeria","Almeria","2020-03-26",52922
"7","Andalucia","Andalucia","Almeria","Almeria","2020-03-28",35463
"8","Andalucia","Andalucia","Almeria","Almeria","2020-03-30",47814
"9","Andalucia","Andalucia","Almeria","Almeria","2020-03-31",48111
"10","Andalucia","Andalucia","Almeria","Almeria","2020-04-01",51836
"11","Andalucia","Andalucia","Almeria","Almeria","2020-04-02",50447
"12","Andalucia","Andalucia","Almeria","Almeria","2020-04-03",54219
"13","Andalucia","Andalucia","Almeria","Almeria","2020-04-04",37761
"14","Andalucia","Andalucia","Almeria","Almeria","2020-04-05",22311
"15","Andalucia","Andalucia","Almeria","Almeria","2020-04-06",47114
"16","Andalucia","Andalucia","Almeria","Almeria","2020-04-07",53750
"17","Andalucia","Andalucia","Almeria","Almeria","2020-04-08",53858
"18","Andalucia","Andalucia","Almeria","Almeria","2020-04-09",35354
"19","Andalucia","Andalucia","Almeria","Almeria","2020-04-10",24380
"20","Andalucia","Andalucia","Almeria","Almeria","2020-04-11",35831
"21","Andalucia","Andalucia","Almeria","Almeria","2020-04-12",22260
"22","Andalucia","Andalucia","Almeria","Almeria","2020-04-13",51593
"23","Andalucia","Andalucia","Almeria","Almeria","2020-04-14",59472
"24","Andalucia","Andalucia","Almeria","Almeria","2020-04-15",58289
"25","Andalucia","Andalucia","Almeria","Almeria","2020-04-16",62383
"26","Andalucia","Andalucia","Almeria","Almeria","2020-04-17",61138
"27","Andalucia","Andalucia","Almeria","Almeria","2020-04-18",41169
"28","Andalucia","Andalucia","Almeria","Almeria","2020-04-19",23580
"29","Andalucia","Andalucia","Almeria","Almeria","2020-04-20",57708
"30","Andalucia","Andalucia","Almeria","Almeria","2020-04-21",61930
"31","Andalucia","Andalucia","Almeria","Almeria","2020-04-22",63313
"32","Andalucia","Andalucia","Almeria","Almeria","2020-04-23",61317
"33","Andalucia","Andalucia","Almeria","Almeria","2020-04-24",61830
"34","Andalucia","Andalucia","Almeria","Almeria","2020-04-25",40375
"35","Andalucia","Andalucia","Almeria","Almeria","2020-04-26",23882
"36","Andalucia","Andalucia","Almeria","Almeria","2020-04-27",59320
"37","Andalucia","Andalucia","Almeria","Almeria","2020-04-28",64142
"38","Andalucia","Andalucia","Almeria","Almeria","2020-04-29",64517
"39","Andalucia","Andalucia","Almeria","Almeria","2020-04-30",65601
"40","Andalucia","Andalucia","Almeria","Almeria","2020-06-01",89569
"41","Andalucia","Andalucia","Almeria","Almeria","2020-06-02",95545
"42","Andalucia","Andalucia","Almeria","Almeria","2020-06-03",96550
"43","Andalucia","Andalucia","Almeria","Almeria","2020-06-04",97177
"44","Andalucia","Andalucia","Almeria","Almeria","2020-06-05",97532
"45","Andalucia","Andalucia","Almeria","Almeria","2020-06-06",83869
"46","Andalucia","Andalucia","Almeria","Almeria","2020-06-07",64865
"47","Andalucia","Andalucia","Almeria","Almeria","2020-06-08",84615
"48","Andalucia","Andalucia","Almeria","Almeria","2020-06-09",80758
"49","Andalucia","Andalucia","Almeria","Almeria","2020-06-10",99234
"50","Andalucia","Andalucia","Almeria","Almeria","2020-06-11",99323
"51","Andalucia","Andalucia","Almeria","Almeria","2020-06-12",95900
"52","Andalucia","Andalucia","Almeria","Almeria","2020-06-13",85048
"53","Andalucia","Andalucia","Almeria","Almeria","2020-06-14",70604
"54","Andalucia","Andalucia","Almeria","Almeria","2020-06-15",95351
"55","Andalucia","Andalucia","Almeria","Almeria","2020-06-16",98140
"56","Andalucia","Andalucia","Almeria","Almeria","2020-06-17",101292
"57","Andalucia","Andalucia","Almeria","Almeria","2020-06-18",99185
"58","Andalucia","Andalucia","Almeria","Almeria","2020-06-19",99940
"59","Andalucia","Andalucia","Almeria","Almeria","2020-06-20",85701
"60","Andalucia","Andalucia","Almeria","Almeria","2019-11-19",144843
"61","Andalucia","Andalucia","Almeria","Cadiz","2020-03-28",19
"62","Andalucia","Andalucia","Almeria","Cadiz","2020-03-30",16
